model,filename,dataset,vehicle,scenario,accuracy,precision,recall,f1_score,roc_auc,tn,fp,fn,tp
gradientboosting,Replay___Vehicle_C___all_IDs___IDs_Datafield_Classification_gradientboosting_results.txt,./Datasets with attacks/Replay/Vehicle C/Vehicle C - all IDs - IDs_Datafield_Classification.csv,Vehicle C,replay,0.8691,0.8444,0.4262,0.5664,0.8786,78136.0,1572.0,11485.0,8531.0
logisticregression,Replay___Vehicle_A___0x181___IDs_Datafield_Classification_logisticregression_results.txt,./Datasets with attacks/Replay/Vehicle A/Vehicle A - 0x181 - IDs_Datafield_Classification.csv,Vehicle A,replay,0.8425,0.1997,0.9846,0.332,0.9779,,,,
randomforest,"Combined___Vehicle_A___Replay_0x181,_0x161,_0x1a5,_Fuzzing_0x244,_0x284,_0x354___IDs_Datafield_Classification_randomforest_results.txt","./Datasets with attacks/Combined/Vehicle A/Vehicle A - Replay 0x181, 0x161, 0x1a5, Fuzzing 0x244, 0x284, 0x354 - IDs_Datafield_Classification.csv",Vehicle A,combined,0.941,0.7768,0.8371,0.8058,0.9655,,,,
logisticregression,Replay___Vehicle_C___all_IDs___IDs_Datafield_Classification_logisticregression_results.txt,./Datasets with attacks/Replay/Vehicle C/Vehicle C - all IDs - IDs_Datafield_Classification.csv,Vehicle C,replay,0.597,0.2697,0.5902,0.3702,0.6013,,,,
logisticregression,Combined___Vehicle_B___Replay_0x181___IDs_Datafield_Classification_logisticregression_results.txt,./Datasets with attacks/Combined/Vehicle B/Vehicle B - Replay 0x181 - IDs_Datafield_Classification.csv,Vehicle B,combined,0.8421,0.2032,0.9983,0.3376,0.9748,,,,
logisticregression,Fuzzing___Vehicle_C___all_IDs___IDs_Datafield_Classification_logisticregression_results.txt,./Datasets with attacks/Fuzzing/Vehicle C/Vehicle C - all IDs - IDs_Datafield_Classification.csv,Vehicle C,fuzzing,0.8927,0.7025,0.8116,0.7531,0.9111,,,,
logisticregression,Fuzzing___Vehicle_A___0x181___IDs_Datafield_Classification_logisticregression_results.txt,./Datasets with attacks/Fuzzing/Vehicle A/Vehicle A - 0x181 - IDs_Datafield_Classification.csv,Vehicle A,fuzzing,0.9907,0.8182,0.9796,0.8916,0.9981,,,,
randomforest,Fuzzing___Vehicle_A___0x181___IDs_Datafield_Classification_randomforest_results.txt,./Datasets with attacks/Fuzzing/Vehicle A/Vehicle A - 0x181 - IDs_Datafield_Classification.csv,Vehicle A,fuzzing,1.0,1.0,1.0,1.0,1.0,,,,
randomforest,Combined___Vehicle_B___Replay_0x181___IDs_Datafield_Classification_randomforest_results.txt,./Datasets with attacks/Combined/Vehicle B/Vehicle B - Replay 0x181 - IDs_Datafield_Classification.csv,Vehicle B,combined,0.9987,0.9825,0.9842,0.9833,0.9933,,,,
gradientboosting,Fuzzing___Vehicle_C___all_IDs___IDs_Datafield_Classification_gradientboosting_results.txt,./Datasets with attacks/Fuzzing/Vehicle C/Vehicle C - all IDs - IDs_Datafield_Classification.csv,Vehicle C,fuzzing,0.9992,1.0,0.9963,0.9981,1.0,,,,
